Key,Source,Context,Changes,English,French,German,Klingon,Spanish,Polish
toyCrocodileBlue,blocks,Block,New,Toy: Snappy the Crocodile,,,,,
toyCrocodileBlue1,blocks,Block,New,Toy: Snappy the Crocodile,,,,,
toyCrocodileBlue2,blocks,Block,New,Toy: Snappy the Crocodile,,,,,
toyCrocodileBlue3,blocks,Block,New,Toy: Snappy the Crocodile,,,,,
toyCrocodileBlue4,blocks,Block,New,Toy: Snappy the Crocodile,,,,,
toyCrocodileBlue5,blocks,Block,New,Toy: Snappy the Crocodile,,,,,
toyCrocodileBlue6,blocks,Block,New,Toy: Snappy the Crocodile,,,,,
toyCrocodileBlue7,blocks,Block,New,Toy: Snappy the Crocodile,,,,,
toyCrocodileBlue8,blocks,Block,New,Toy: Snappy the Crocodile,,,,,
toyCrocodileGreen,blocks,Block,New,Toy: Doc the Crocodile,,,,,
toyCrocodileGreen1,blocks,Block,New,Toy: Doc the Crocodile,,,,,
toyCrocodileGreen2,blocks,Block,New,Toy: Doc the Crocodile,,,,,
toyCrocodileGreen3,blocks,Block,New,Toy: Doc the Crocodile,,,,,
toyCrocodileGreen4,blocks,Block,New,Toy: Doc the Crocodile,,,,,
toyCrocodileGreen5,blocks,Block,New,Toy: Doc the Crocodile,,,,,
toyCrocodileGreen6,blocks,Block,New,Toy: Doc the Crocodile,,,,,
toyCrocodileGreen7,blocks,Block,New,Toy: Doc the Crocodile,,,,,
toyCrocodileGreen8,blocks,Block,New,Toy: Doc the Crocodile,,,,,
toyCrocodilePink,blocks,Block,New,Toy: Gaten the Crocodile,,,,,
toyCrocodilePink1,blocks,Block,New,Toy: Gaten the Crocodile,,,,,
toyCrocodilePink2,blocks,Block,New,Toy: Gaten the Crocodile,,,,,
toyCrocodilePink3,blocks,Block,New,Toy: Gaten the Crocodile,,,,,
toyCrocodilePink4,blocks,Block,New,Toy: Gaten the Crocodile,,,,,
toyCrocodilePink5,blocks,Block,New,Toy: Gaten the Crocodile,,,,,
toyCrocodilePink6,blocks,Block,New,Toy: Gaten the Crocodile,,,,,
toyCrocodilePink7,blocks,Block,New,Toy: Gaten the Crocodile,,,,,
toyCrocodilePink8,blocks,Block,New,Toy: Gaten the Crocodile,,,,,
toyDogBlack,blocks,Block,New,Toy: Sammy the Dog,,,,,
toyDogBlack1,blocks,Block,New,Toy: Sammy the Dog,,,,,
toyDogBlack2,blocks,Block,New,Toy: Sammy the Dog,,,,,
toyDogBlack3,blocks,Block,New,Toy: Sammy the Dog,,,,,
toyDogBlack4,blocks,Block,New,Toy: Sammy the Dog,,,,,
toyDogBlack5,blocks,Block,New,Toy: Sammy the Dog,,,,,
toyDogBlack6,blocks,Block,New,Toy: Sammy the Dog,,,,,
toyDogBlack7,blocks,Block,New,Toy: Sammy the Dog,,,,,
toyDogBlack8,blocks,Block,New,Toy: Sammy the Dog,,,,,
toyDogPink,blocks,Block,New,Toy: Pippy the Dog,,,,,
toyDogPink1,blocks,Block,New,Toy: Pippy the Dog,,,,,
toyDogPink2,blocks,Block,New,Toy: Pippy the Dog,,,,,
toyDogPink3,blocks,Block,New,Toy: Pippy the Dog,,,,,
toyDogPink4,blocks,Block,New,Toy: Pippy the Dog,,,,,
toyDogPink5,blocks,Block,New,Toy: Pippy the Dog,,,,,
toyDogPink6,blocks,Block,New,Toy: Pippy the Dog,,,,,
toyDogPink7,blocks,Block,New,Toy: Pippy the Dog,,,,,
toyDogPink8,blocks,Block,New,Toy: Pippy the Dog,,,,,
toyDogYellow,blocks,Block,New,Toy: Puddles the Dog,,,,,
toyDogYellow1,blocks,Block,New,Toy: Puddles the Dog,,,,,
toyDogYellow2,blocks,Block,New,Toy: Puddles the Dog,,,,,
toyDogYellow3,blocks,Block,New,Toy: Puddles the Dog,,,,,
toyDogYellow4,blocks,Block,New,Toy: Puddles the Dog,,,,,
toyDogYellow5,blocks,Block,New,Toy: Puddles the Dog,,,,,
toyDogYellow6,blocks,Block,New,Toy: Puddles the Dog,,,,,
toyDogYellow7,blocks,Block,New,Toy: Puddles the Dog,,,,,
toyDogYellow8,blocks,Block,New,Toy: Puddles the Dog,,,,,
toyDolphinBlack,blocks,Block,New,Toy: Detroit the Dolphin,,,,,
toyDolphinBlack1,blocks,Block,New,Toy: Detroit the Dolphin,,,,,
toyDolphinBlack2,blocks,Block,New,Toy: Detroit the Dolphin,,,,,
toyDolphinBlack3,blocks,Block,New,Toy: Detroit the Dolphin,,,,,
toyDolphinBlack4,blocks,Block,New,Toy: Detroit the Dolphin,,,,,
toyDolphinBlack5,blocks,Block,New,Toy: Detroit the Dolphin,,,,,
toyDolphinBlack6,blocks,Block,New,Toy: Detroit the Dolphin,,,,,
toyDolphinBlack7,blocks,Block,New,Toy: Detroit the Dolphin,,,,,
toyDolphinBlack8,blocks,Block,New,Toy: Detroit the Dolphin,,,,,
toyDolphinBlue,blocks,Block,New,Toy: Skip the Dolphin,,,,,
toyDolphinBlue1,blocks,Block,New,Toy: Skip the Dolphin,,,,,
toyDolphinBlue2,blocks,Block,New,Toy: Skip the Dolphin,,,,,
toyDolphinBlue3,blocks,Block,New,Toy: Skip the Dolphin,,,,,
toyDolphinBlue4,blocks,Block,New,Toy: Skip the Dolphin,,,,,
toyDolphinBlue5,blocks,Block,New,Toy: Skip the Dolphin,,,,,
toyDolphinBlue6,blocks,Block,New,Toy: Skip the Dolphin,,,,,
toyDolphinBlue7,blocks,Block,New,Toy: Skip the Dolphin,,,,,
toyDolphinBlue8,blocks,Block,New,Toy: Skip the Dolphin,,,,,
toyDolphinPink,blocks,Block,New,Toy: Lily the Dolphin,,,,,
toyDolphinPink1,blocks,Block,New,Toy: Lily the Dolphin,,,,,
toyDolphinPink2,blocks,Block,New,Toy: Lily the Dolphin,,,,,
toyDolphinPink3,blocks,Block,New,Toy: Lily the Dolphin,,,,,
toyDolphinPink4,blocks,Block,New,Toy: Lily the Dolphin,,,,,
toyDolphinPink5,blocks,Block,New,Toy: Lily the Dolphin,,,,,
toyDolphinPink6,blocks,Block,New,Toy: Lily the Dolphin,,,,,
toyDolphinPink7,blocks,Block,New,Toy: Lily the Dolphin,,,,,
toyDolphinPink8,blocks,Block,New,Toy: Lily the Dolphin,,,,,
toyElephantBlack,blocks,Block,New,Toy: Ellie the Elephant,,,,,
toyElephantBlack1,blocks,Block,New,Toy: Ellie the Elephant,,,,,
toyElephantBlack2,blocks,Block,New,Toy: Ellie the Elephant,,,,,
toyElephantBlack3,blocks,Block,New,Toy: Ellie the Elephant,,,,,
toyElephantBlack4,blocks,Block,New,Toy: Ellie the Elephant,,,,,
toyElephantBlack5,blocks,Block,New,Toy: Ellie the Elephant,,,,,
toyElephantBlack6,blocks,Block,New,Toy: Ellie the Elephant,,,,,
toyElephantBlack7,blocks,Block,New,Toy: Ellie the Elephant,,,,,
toyElephantBlack8,blocks,Block,New,Toy: Ellie the Elephant,,,,,
toyElephantBlue,blocks,Block,New,Toy: Billy the Elephant,,,,,
toyElephantBlue1,blocks,Block,New,Toy: Billy the Elephant,,,,,
toyElephantBlue2,blocks,Block,New,Toy: Billy the Elephant,,,,,
toyElephantBlue3,blocks,Block,New,Toy: Billy the Elephant,,,,,
toyElephantBlue4,blocks,Block,New,Toy: Billy the Elephant,,,,,
toyElephantBlue5,blocks,Block,New,Toy: Billy the Elephant,,,,,
toyElephantBlue6,blocks,Block,New,Toy: Billy the Elephant,,,,,
toyElephantBlue7,blocks,Block,New,Toy: Billy the Elephant,,,,,
toyElephantBlue8,blocks,Block,New,Toy: Billy the Elephant,,,,,
toyElephantPink,blocks,Block,New,Toy: Prada the Elephant,,,,,
toyElephantPink1,blocks,Block,New,Toy: Prada the Elephant,,,,,
toyElephantPink2,blocks,Block,New,Toy: Prada the Elephant,,,,,
toyElephantPink3,blocks,Block,New,Toy: Prada the Elephant,,,,,
toyElephantPink4,blocks,Block,New,Toy: Prada the Elephant,,,,,
toyElephantPink5,blocks,Block,New,Toy: Prada the Elephant,,,,,
toyElephantPink6,blocks,Block,New,Toy: Prada the Elephant,,,,,
toyElephantPink7,blocks,Block,New,Toy: Prada the Elephant,,,,,
toyElephantPink8,blocks,Block,New,Toy: Prada the Elephant,,,,,
