Key,Source,Context,Changes,English,French,German,Klingon,Spanish
classtrainingbuilder1,,Quest Info,KgNone,Builder Class Part 1 of 5,,,,
classtrainingbuilder1_subtitle,,Quest Info,KgNone,Builder Class 1 of 5,,,,
classtrainingbuilder1_offer,,Quest Info,KgNone,"Builder Class\n\nExclusive Recipes/Perks: Builders Workbench, HD Nailgun, Concrete Mixing, Concrete Construction, Tungsten Construction, Tungsten Bars, Categorized Storage Containers, Comfortable Sleeping, Minibikes for Smartshits and Toughshits, and Steel Doors",,,,
classtrainingbuilder1_description,,Quest Info,KgNone,"Builder Class\n\nExclusive Recipes/Perks: Builders Workbench, HD Nailgun, Concrete Mixing, Concrete Construction, Tungsten Construction, Tungsten Bars, Categorized Storage Containers, Comfortable Sleeping, Minibikes for Smartshits and Toughshits, and Steel Doors",,,,
classtrainingbuilder2,,Quest Info,KgNone,Builder Class Part 2 of 5,,,,
classtrainingbuilder2_subtitle,,Quest Info,KgNone,"Builder Class 2 of 5",,,,
classtrainingbuilder2_description,,Quest Info,KgNone,"Builder Class\n\nExclusive Recipes/Perks: Builders Workbench, HD Nailgun, Concrete Mixing, Concrete Construction, Tungsten Construction, Tungsten Bars, Categorized Storage Containers, Comfortable Sleeping, Minibikes for Smartshits and Toughshits, and Steel Doors",,,,
classtrainingbuilder3,,Quest Info,KgNone,Builder Class Part 3 of 5,,,,
classtrainingbuilder3_subtitle,,Quest Info,KgNone,Builder Class Part 3 of 5,,,,
classtrainingbuilder3_description,,Quest Info,KgNone,"Builder Class\n\nExclusive Recipes/Perks: Builders Workbench, HD Nailgun, Concrete Mixing, Concrete Construction, Tungsten Construction, Tungsten Bars, Categorized Storage Containers, Comfortable Sleeping, Minibikes for Smartshits and Toughshits, and Steel Doors",,,,
classtrainingbuilder4,,Quest Info,KgNone,Builder Class Part 4 of 5,,,,
classtrainingbuilder4_subtitle,,Quest Info,KgNone,Builder Class Part 4 of 5,,,,
classtrainingbuilder4_description,,Quest Info,KgNone,"Builder Class\n\nExclusive Recipes/Perks: Builders Workbench, HD Nailgun, Concrete Mixing, Concrete Construction, Tungsten Construction, Tungsten Bars, Categorized Storage Containers, Comfortable Sleeping, Minibikes for Smartshits and Toughshits, and Steel Doors",,,,
classtrainingbuilder5,,Quest Info,KgNone,Builder Class Part 5 of 5,,,,
classtrainingbuilder5_subtitle,,Quest Info,KgNone,Builder Class Part 5 of 5,,,,
