Key,Source,Context,Changes,English,French,German,Klingon,Spanish,Polish
attcraftingskills,progression,Attribute,New,Crafting Skills,,,,,
attCraftingSkillsName,progression,Attribute,New,Crafting Skills:,,,,,
attCraftingSkillsDesc,progression,Attribute,New,"Purchase these skills to gain better knowledge at crafting better quality items and using them with better stats.",,,,,
attclassperks,progression,Attribute,New,Class Perks,,,,,
attClassPerksName,progression,Attribute,New,Class Perks:,,,,,
attClassPerksDesc,progression,Attribute,New,"War of the Walkers Class exclusive perks that unlock recipes.",,,,,
attClassPerks2,progression,Attribute,,,Class Perks Pg.2,,,,,
attClassPerks2Name,progression,Attribute,New,Class Perks Pg.2:,,,,,
attClassPerks3,progression,Attribute,,,Class Perks Pg.3,,,,,
attClassPerks3Name,progression,Attribute,New,Class Perks Pg.3:,,,,,
attrecipeperks,progression,Attribute,New,Recipe Perks,,,,,
attRecipePerksName,progression,Attribute,New,Recipe Perks:,,,,,
attRecipePerksDesc,progression,Attribute,New,"War of the Walkers Recipe Perks.",,,,,
attRecipePerks2,progression,Attribute,,,Recipe Perks Pg.2,,,,,
attRecipePerks2Name,progression,Attribute,New,Recipe Perks Pg.2:,,,,,
skillGunsAmmoCraftingName,progression,Skill,New,Gun Crafting Perks,,,,,
skillGunsAmmoCraftingDesc,progression,Skill,New,"Gain skills at crafting guns faster and more efficiently.",,,,,
skillAmmoCraftingName,progression,Skill,New,Ammo Crafting Perks,,,,,
skillAmmoCraftingDesc,progression,Skill,New,"Gain skills at crafting ammo faster and more efficiently.",,,,,
skillMeleeWeaponCraftingName,progression,Skill,New,Melee Weapon Crafting Perks,,,,,
skillMeleeWeaponCraftingDesc,progression,Skill,New,"Gain skills at crafting melee weapons faster and more efficiently.",,,,,
skillMeleeWeaponsCraftingName,progression,Skill,New,Melee Weapons Crafting Perks,,,,,
skillMeleeWeaponsCraftingDesc,progression,Skill,New,"Gain skills at crafting melee weapons with better quality and speed.",,,,,
skillToolCraftingName,progression,Skill,New,Tool Crafting Perks,,,,,
skillToolCraftingDesc,progression,Skill,New,"Gain skills at crafting tools with better quality and speed.",,,,,
skillArmorCraftingName,progression,Skill,New,Armor Crafting Perks,,,,,
skillArmorCraftingDesc,progression,Skill,New,"Gain skills at crafting armor with better quality and speed.",,,,,
skillMiscCraftingName,progression,Skill,New,Misc Crafting Perks,,,,,
skillMiscCraftingDesc,progression,Skill,New,"Gain skills at crafting miscellaneous items with better quality and speed.",,,,,
skillClassMasterName,progression,Skill,New,Class Master List,,,,,
skillClassMasterDesc,progression,Skill,KgNone,"Below is the master list of all classes.  You will need to be mastered in each in order to purchase their perks.",,,,,
skillClassBuilderName,progression,Skill,New,Builder Class,,,,,
skillClassBuilderDesc,progression,Skill,New,"Builder class exclusive perks.",,,,,
skillClassSurvivalistName,progression,Skill,New,Survivalist Class,,,,,
skillClassSurvivalistDesc,progression,Skill,New,"Survivalist class exclusive perks.",,,,,
skillClassScholarName,progression,Skill,New,Scholar Class,,,,,
skillClassScholarDesc,progression,Skill,New,"Scholar class exclusive perks.",,,,,
skillClassMarksmanName,progression,Skill,New,Marksman Class,,,,,
skillClassMarksmanDesc,progression,Skill,New,"Marksman class exclusive perks.",,,,,
skillClassFighterName,progression,Skill,New,Fighter Class,,,,,
skillClassFighterDesc,progression,Skill,New,"Fighter class exclusive perks.",,,,,
skillClassTradesmanName,progression,Skill,New,Tradesman Class,,,,,
skillClassTradesmanDesc,progression,Skill,New,"Tradesman class exclusive perks.",,,,,
skillClassProtectionName,progression,Skill,New,Protection Class,,,,,
skillClassProtectionDesc,progression,Skill,New,"Protection class exclusive perks.",,,,,
skillClassElectricianName,progression,Skill,New,Electrician Class,,,,,
skillClassElectricianDesc,progression,Skill,New,"Electrician class exclusive perks.",,,,,
skillClassCovertName,progression,Skill,New,Covert Class,,,,,
skillClassCovertDesc,progression,Skill,New,"Covert class exclusive perks.",,,,,
skillClassCookName,progression,Skill,New,Cook Class,,,,,
skillClassCookDesc,progression,Skill,New,"Cook class exclusive perks.",,,,,
skillClassMechanicName,progression,Skill,New,Mechanic Class,,,,,
skillClassMechanicDesc,progression,Skill,New,"Mechanic class exclusive perks.",,,,,
skillRecipeWorkstationsName,progression,Skill,New,Workstations Recipes,,,,,
skillRecipeWorkstationsDesc,progression,Skill,New,"Learn how to craft workstations.",,,,,
skillRecipeToolsName,progression,Skill,New,Tool Recipes,,,,,
skillRecipeToolsDesc,progression,Skill,New,"Learn how to craft tools.",,,,,
skillRecipeBuildingName,progression,Skill,New,Building Recipes,,,,,
skillRecipeBuildingDesc,progression,Skill,New,"Learn how to craft building recipes.",,,,,
skillRecipeWeaponsName,progression,Skill,New,Weapons Recipes,,,,,
skillRecipeWeaponsDesc,progression,Skill,New,"Learn how to craft weapons.",,,,,
skillRecipeArmorName,progression,Skill,New,Armor Recipes,,,,,
skillRecipeArmorDesc,progression,Skill,New,"Learn how to craft armor.",,,,,
skillRecipeFoodMedicineName,progression,Skill,New,Food and Medicine Recipes,,,,,
skillRecipeFoodMedicineDesc,progression,Skill,New,"Learn how to craft food and medical recipes.",,,,,
skillRecipeAmmoName,progression,Skill,New,Ammo Recipes,,,,,
skillRecipeAmmoDesc,progression,Skill,New,"Learn how to craft ammunition.",,,,,
craftSkillPistolGunsName,progression,Skill,New,Crafting Skill: Pistols Master,,,,,
craftSkillPistolGunsDesc,progression,Skill,New,"Gain skills at using pistols with better stats.  Craft higher tier pistols.",,,,,
craftSkillPistolGunsRank1Desc,progression,Perk,New,"Wield pistols with 5% additional entity damage and gain 2.5% more experience.  Craft at quality level 2.",,,,,
craftSkillPistolGunsRank2Desc,progression,Perk,New,"Wield pistols with 7.5% additional entity damage and gain 5% more experience.  Craft at quality level 3.",,,,,
craftSkillPistolGunsRank3Desc,progression,Perk,New,"Wield pistols with 10% additional entity damage and gain 7.5% more experience.  Craft at quality level 4.",,,,,
craftSkillPistolGunsRank4Desc,progression,Perk,New,"Wield pistols with 12.5% additional entity damage and gain 10% more experience.  Craft at quality level 5.",,,,,
craftSkillPistolGunsRank5Desc,progression,Perk,New,"Wield pistols with 20% additional entity damage and gain 20% more experience.  Craft at quality level 6.",,,,,
craftSkillShotgunGunsName,progression,Perk,New,Crafting Skill: Shotguns Master,,,,,
craftSkillShotgunGunsDesc,progression,Perk,New,"Gain skills at using shotguns with better stats.  Craft higher tier shotguns.",,,,,
craftSkillShotgunGunsRank1Desc,progression,Perk,New,"Wield shotguns with 5% additional entity damage and gain 2.5% more experience.  Craft at quality level 2.",,,,,
craftSkillShotgunGunsRank2Desc,progression,Perk,New,"Wield shotguns with 7.5% additional entity damage and gain 5% more experience.  Craft at quality level 3.",,,,,
craftSkillShotgunGunsRank3Desc,progression,Perk,New,"Wield shotguns with 10% additional entity damage and gain 7.5% more experience.  Craft at quality level 4.",,,,,
craftSkillShotgunGunsRank4Desc,progression,Perk,New,"Wield shotguns with 12.5% additional entity damage and gain 10% more experience.  Craft at quality level 5.",,,,,
craftSkillShotgunGunsRank5Desc,progression,Perk,New,"Wield shotguns with 20% additional entity damage and gain 20% more experience.  Craft at quality level 6.",,,,,
craftSkillRifleGunsName,progression,Perk,New,Crafting Skill: Rifles Master,,,,,
craftSkillRifleGunsDesc,progression,Perk,New,"Gain skills at using rifles with better stats.  Craft higher tier rifles.",,,,,
craftSkillRifleGunsRank1Desc,progression,Perk,New,"Wield rifles with 5% additional entity damage and gain 2.5% more experience.  Craft at quality level 2.",,,,,
craftSkillRifleGunsRank2Desc,progression,Perk,New,"Wield rifles with 7.5% additional entity damage and gain 5% more experience.  Craft at quality level 3.",,,,,
craftSkillRifleGunsRank3Desc,progression,Perk,New,"Wield rifles with 10% additional entity damage and gain 7.5% more experience.  Craft at quality level 4.",,,,,
craftSkillRifleGunsRank4Desc,progression,Perk,New,"Wield rifles with 12.5% additional entity damage and gain 10% more experience.  Craft at quality level 5.",,,,,
craftSkillRifleGunsRank5Desc,progression,Perk,New,"Wield rifles with 20% additional entity damage and gain 20% more experience.  Craft at quality level 6.",,,,,
craftSkillBowWeaponsName,progression,Perk,New,Crafting Skill: Bows Master,,,,,
craftSkillBowWeaponsDesc,progression,Perk,New,"Gain skills at using bows with better stats.  Craft higher tier bows.",,,,,
craftSkillBowWeaponsRank1Desc,progression,Perk,New,"Wield bows with 5% additional entity damage and gain 2.5% more experience.  Craft at quality level 2.",,,,,
